RX 0000089 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461052941 06.04.2023 12:45:55.956 0031025285 3135480640
RX 0000090 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461054934 06.04.2023 12:45:55.958 0031025285 3135500640
RX 0000091 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461056963 06.04.2023 12:45:55.960 0031025285 3135520640
RX 0000092 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461058956 06.04.2023 12:45:55.962 0031025285 3135540640
RX 0000093 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461060122 06.04.2023 12:45:55.964 0031025285 3135560640
RX 0000094 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461061287 06.04.2023 12:45:55.965 0031025285 3135570640
RX 0000095 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461062398 06.04.2023 12:45:55.966 0031025285 3135580640
RX 0000096 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461063546 06.04.2023 12:45:55.967 0031025285 3135590640
RX 0000097 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461064748 06.04.2023 12:45:55.968 0031025285 3135600640
RX 0000098 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461065932 06.04.2023 12:45:55.969 0031025285 3135610640
RX 0000099 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461067116 06.04.2023 12:45:55.971 0031025285 3135630640
RX 0000100 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461069219 06.04.2023 12:45:55.973 0031025285 3135650640
RX 0000101 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461070404 06.04.2023 12:45:55.974 0031025285 3135660640
RX 0000102 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461071551 06.04.2023 12:45:55.975 0031025285 3135670640
RX 0000103 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461072625 06.04.2023 12:45:55.976 0031025285 3135680640
RX 0000104 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461074655 06.04.2023 12:45:55.978 0031025285 3135700640
RX 0000105 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461076629 06.04.2023 12:45:55.980 0031025285 3135720640
RX 0000106 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461078805 06.04.2023 12:45:55.982 0031025285 3135740640
RX 0000107 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461079935 06.04.2023 12:45:55.983 0031025285 3135750640
RX 0000108 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461081119 06.04.2023 12:45:55.985 0031025285 3135770640
RX 0000109 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461083424 06.04.2023 12:45:55.987 0031025285 3135790640
RX 0000110 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461085472 06.04.2023 12:45:55.989 0031025285 3135810640
RX 0000111 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461087795 06.04.2023 12:45:55.991 0031025285 3135830640
RX 0000112 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461089678 06.04.2023 12:45:55.993 0031025285 3135850640
RX 0000113 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461091891 06.04.2023 12:45:55.995 0031025285 3135870640
RX 0000114 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461094031 06.04.2023 12:45:55.998 0031025285 3135900640
RX 0000115 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461095178 06.04.2023 12:45:55.999 0031025285 3135910640
RX 0000116 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461096399 06.04.2023 12:45:56.000 0031025285 3135920640
RX 0000117 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461098337 06.04.2023 12:45:56.002 0031025285 3135940640
RX 0000118 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461099540 06.04.2023 12:45:56.003 0031025285 3135950640
RX 0000119 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461100724 06.04.2023 12:45:56.004 0031025285 3135960640
RX 0000120 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461101908 06.04.2023 12:45:56.005 0031025285 3135970640
RX 0000121 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461103037 06.04.2023 12:45:56.007 0031025285 3135990640
RX 0000122 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461105066 06.04.2023 12:45:56.009 0031025285 3136010640
RX 0000123 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461107078 06.04.2023 12:45:56.011 0031025285 3136030640
RX 0000124 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461108225 06.04.2023 12:45:56.012 0031025285 3136040640
RX 0000125 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461109391 06.04.2023 12:45:56.013 0031025285 3136050640
RX 0000126 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461110575 06.04.2023 12:45:56.014 0031025285 3136060640
RX 0000127 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461111723 06.04.2023 12:45:56.015 0031025285 3136070640
RX 0000128 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461113826 06.04.2023 12:45:56.017 0031025285 3136090640
RX 0000129 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461115028 06.04.2023 12:45:56.019 0031025285 3136110640
RX 0000130 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461116139 06.04.2023 12:45:56.020 0031025285 3136120640
RX 0000131 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461117286 06.04.2023 12:45:56.021 0031025285 3136130640
RX 0000132 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461118489 06.04.2023 12:45:56.022 0031025285 3136140640
RX 0000133 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461120353 06.04.2023 12:45:56.024 0031025285 3136160640
RX 0000134 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461122401 06.04.2023 12:45:56.026 0031025285 3136180640
RX 0000135 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461124412 06.04.2023 12:45:56.028 0031025285 3136200640
RX 0000136 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461126405 06.04.2023 12:45:56.030 0031025285 3136220640
RX 0000137 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461128416 06.04.2023 12:45:56.032 0031025285 3136240640
RX 0000138 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461130427 06.04.2023 12:45:56.034 0031025285 3136260640
RX 0000139 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461132402 06.04.2023 12:45:56.036 0031025285 3136280640
RX 0000140 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461134431 06.04.2023 12:45:56.038 0031025285 3136300640
RX 0000141 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461136424 06.04.2023 12:45:56.040 0031025285 3136320640
RX 0000142 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461138417 06.04.2023 12:45:56.042 0031025285 3136340640
RX 0000143 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461140428 06.04.2023 12:45:56.044 0031025285 3136360640
RX 0000144 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461142420 06.04.2023 12:45:56.046 0031025285 3136380640
RX 0000145 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461144413 06.04.2023 12:45:56.048 0031025285 3136400640
RX 0000146 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461146424 06.04.2023 12:45:56.050 0031025285 3136420640
RX 0000147 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461148435 06.04.2023 12:45:56.052 0031025285 3136440640
RX 0000148 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461150410 06.04.2023 12:45:56.054 0031025285 3136460640
RX 0000149 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461152439 06.04.2023 12:45:56.056 0031025285 3136480640
RX 0000150 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461154395 06.04.2023 12:45:56.058 0031025285 3136500640
RX 0000151 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461156443 06.04.2023 12:45:56.060 0031025285 3136520640
RX 0000152 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461158399 06.04.2023 12:45:56.062 0031025285 3136540640
RX 0000153 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461160429 06.04.2023 12:45:56.064 0031025285 3136560640
RX 0000154 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461162421 06.04.2023 12:45:56.066 0031025285 3136580640
